MACH,MaSanPham,SoLuongTrenKe,SoLuongTrongKho,NgayCapNhat
CH3,SP108,45,168,08-06-2023 08:45
CH3,SP024,89,127,25-08-2023 02:23
CH3,SP275,4,44,01-02-2025 05:09
CH3,SP244,9,84,10-10-2025 04:58
CH3,SP139,62,229,16-11-2024 21:16
CH3,SP241,40,327,22-03-2025 05:27
CH3,SP077,42,155,08-02-2023 21:46
CH3,SP095,37,297,01-04-2025 15:09
CH3,SP296,89,201,06-12-2024 15:40
CH3,SP163,72,100,13-06-2023 06:07
CH3,SP227,21,100,18-05-2024 04:19
CH3,SP249,98,354,22-10-2024 23:53
CH3,SP248,81,182,17-06-2023 00:00
CH3,SP138,92,216,30-09-2023 04:20
CH3,SP018,76,116,23-08-2023 03:50
CH3,SP278,0,13,23-06-2024 23:16
CH3,SP226,31,326,27-10-2025 07:10
CH3,SP067,3,193,13-11-2024 04:25
CH3,SP190,60,81,17-09-2023 20:31
CH3,SP188,31,235,04-07-2025 06:10
CH3,SP134,68,321,13-12-2024 10:40
CH3,SP299,74,104,31-05-2023 18:49
CH3,SP021,19,132,09-02-2025 01:25
CH3,SP072,71,261,01-04-2025 09:13
CH3,SP120,14,246,13-05-2024 15:11
CH3,SP217,23,105,02-06-2024 05:52
CH3,SP209,28,231,09-06-2025 17:51
CH3,SP218,66,321,27-12-2025 23:42
CH3,SP193,41,41,13-12-2025 01:24
CH3,SP109,40,63,12-05-2024 03:49
CH3,SP194,50,207,15-04-2025 09:07
CH3,SP117,33,155,09-01-2025 20:28
CH3,SP201,61,70,09-03-2024 00:39
CH3,SP029,12,77,23-07-2023 22:22
CH3,SP281,20,193,31-03-2023 12:03
CH3,SP075,61,290,08-02-2023 23:08
CH3,SP167,17,152,07-05-2024 10:48
CH3,SP038,32,285,20-11-2024 03:15
CH3,SP262,36,189,17-12-2023 20:08
CH3,SP215,74,224,02-08-2023 02:54
CH3,SP245,11,55,13-01-2023 15:25
CH3,SP221,98,384,04-11-2024 06:21
CH3,SP119,41,230,24-04-2024 20:24
CH3,SP144,64,91,08-09-2024 04:03
CH3,SP073,86,135,09-04-2023 07:24
CH3,SP239,42,224,05-05-2024 07:30
CH3,SP150,96,360,27-09-2025 02:26
CH3,SP157,48,158,22-12-2024 22:16
CH3,SP263,52,340,28-08-2025 15:32
CH3,SP097,18,209,09-11-2023 06:42
CH3,SP261,68,215,26-11-2025 18:47
CH3,SP183,0,222,26-03-2023 16:38
CH3,SP213,90,97,12-01-2023 22:22
CH3,SP054,1,224,06-02-2023 11:42
CH3,SP216,37,316,09-03-2025 06:37
CH3,SP032,78,101,12-04-2025 15:54
CH3,SP151,30,45,11-10-2024 15:19
CH3,SP184,37,197,26-05-2024 06:16
CH3,SP087,100,190,30-05-2024 22:57
CH3,SP200,48,83,31-10-2023 11:20
CH3,SP159,39,135,23-05-2025 22:50
CH3,SP232,96,152,10-07-2023 16:19
CH3,SP268,67,256,09-01-2023 12:19
CH3,SP171,69,223,17-09-2024 18:07
CH3,SP128,87,359,05-06-2025 16:20
CH3,SP112,20,52,26-11-2025 17:58
CH3,SP250,57,308,22-05-2023 15:15
CH3,SP195,78,355,08-09-2023 12:05
CH3,SP199,26,183,12-06-2023 12:30
CH3,SP066,73,203,29-08-2024 08:00
CH3,SP060,11,71,31-10-2024 21:19
CH3,SP166,64,284,27-12-2023 04:15
CH3,SP175,32,179,03-10-2024 22:01
CH3,SP079,66,304,07-05-2023 02:39
CH3,SP062,19,25,13-02-2024 06:09
CH3,SP255,91,259,18-02-2025 19:14
CH3,SP280,80,244,10-05-2024 06:45
CH3,SP058,86,321,21-02-2025 18:18
CH3,SP111,85,154,19-01-2024 17:24
CH3,SP197,54,222,29-02-2024 01:01
CH3,SP247,25,233,07-01-2024 00:05
CH3,SP276,71,285,22-04-2023 12:34
CH3,SP076,29,322,15-03-2025 12:31
CH3,SP256,85,201,18-01-2023 10:27
CH3,SP153,45,256,23-11-2025 18:20
CH3,SP026,53,150,26-07-2025 11:17
CH3,SP181,13,174,02-03-2024 02:03
CH3,SP147,80,248,04-05-2025 07:45
CH3,SP033,99,280,23-01-2023 22:41
CH3,SP264,18,200,16-09-2023 06:54
CH3,SP265,66,195,28-05-2023 10:08
CH3,SP051,49,262,21-08-2023 03:00
CH3,SP118,66,246,06-12-2024 14:49
CH3,SP225,23,49,30-06-2023 06:28
CH3,SP123,25,253,30-12-2025 18:50
CH3,SP013,9,64,02-08-2024 01:46
CH3,SP259,58,248,19-11-2023 05:02
CH3,SP158,53,199,17-11-2023 10:49
CH3,SP022,93,218,15-09-2023 13:32
CH3,SP290,39,105,26-09-2024 06:00
CH3,SP061,1,66,21-08-2025 10:53
CH3,SP222,30,271,22-02-2023 11:04
CH3,SP202,90,361,21-02-2024 19:48
CH3,SP294,73,249,01-03-2024 11:03
CH3,SP135,10,159,30-10-2025 19:30
CH3,SP090,47,124,18-01-2025 16:13
CH3,SP012,7,74,26-02-2023 08:57
CH3,SP179,81,195,28-07-2023 03:17
CH3,SP160,26,152,26-10-2025 22:40
CH3,SP207,48,229,07-07-2025 23:13
CH3,SP057,89,274,07-03-2025 07:45
CH3,SP152,87,213,01-09-2025 21:30
CH3,SP172,7,246,15-07-2024 18:40
CH3,SP257,17,302,18-12-2025 18:09
CH3,SP206,51,142,18-12-2025 12:44
CH3,SP185,20,227,22-12-2024 12:49
CH3,SP069,77,342,22-01-2025 14:30
CH3,SP016,23,139,15-06-2025 16:48
CH3,SP271,27,287,28-04-2024 15:17
CH3,SP046,56,209,01-02-2025 19:20
CH3,SP236,41,121,02-04-2024 12:46
CH3,SP235,39,126,05-11-2025 11:39
CH3,SP121,89,197,25-02-2023 18:27
CH3,SP212,15,224,10-03-2023 11:30
CH3,SP274,42,131,09-04-2025 21:11
CH3,SP269,3,202,26-06-2024 20:55
CH3,SP161,41,121,20-11-2024 10:40
CH3,SP170,37,246,18-06-2023 05:43
CH3,SP273,72,367,12-07-2025 07:39
CH3,SP126,97,163,24-07-2023 07:49
CH3,SP102,90,311,07-08-2025 06:22
CH3,SP187,8,199,18-04-2024 18:17
CH3,SP094,45,130,20-11-2023 20:59
CH3,SP093,10,67,13-03-2025 10:15
CH3,SP099,18,27,29-10-2023 10:38
CH3,SP149,58,137,03-03-2025 21:03
CH3,SP291,92,211,26-08-2023 07:55
CH3,SP027,15,70,18-04-2023 16:13
CH3,SP088,30,124,22-05-2025 12:17
CH3,SP288,31,74,10-11-2023 18:12
CH3,SP224,97,157,13-01-2023 23:16
CH3,SP258,22,208,19-01-2025 17:21
CH3,SP043,28,202,16-06-2023 15:05
CH3,SP242,73,128,05-10-2025 19:23
CH3,SP298,77,106,20-01-2024 06:20
CH3,SP186,80,128,02-05-2024 08:38
CH3,SP025,3,90,04-06-2025 19:36
CH3,SP041,28,310,03-08-2024 16:59
CH3,SP008,2,182,31-12-2023 07:34
CH3,SP053,18,96,02-08-2023 01:50
CH3,SP234,84,259,06-10-2024 10:43
CH3,SP020,65,182,09-02-2023 16:44
CH3,SP173,91,368,20-09-2024 04:30
CH3,SP297,85,351,24-12-2023 14:51
CH3,SP002,31,165,14-08-2024 15:25
CH3,SP100,62,256,08-01-2025 13:34
CH3,SP238,31,310,21-01-2024 13:26
CH3,SP246,79,260,29-09-2025 05:46
CH3,SP285,45,164,09-01-2024 04:20
CH3,SP078,51,216,08-01-2025 14:32
CH3,SP142,27,194,23-01-2025 01:20
CH3,SP091,51,283,26-10-2023 18:04
CH3,SP277,65,65,09-03-2024 16:19
CH3,SP023,42,197,26-06-2025 11:20
CH3,SP014,25,325,04-02-2023 14:55
CH3,SP096,13,228,08-10-2024 12:03
CH3,SP042,45,132,11-01-2025 14:29
CH3,SP045,26,76,17-10-2024 16:29
CH3,SP214,68,265,16-04-2024 03:34
CH3,SP237,4,274,24-05-2023 19:40
CH3,SP010,24,169,01-07-2025 04:12
CH3,SP081,19,235,28-07-2023 13:55
CH3,SP113,62,278,19-03-2024 01:09
CH3,SP028,58,307,25-05-2023 07:09
CH3,SP168,90,131,03-08-2023 23:48
CH3,SP292,30,208,28-06-2025 02:29
CH3,SP065,58,255,19-11-2025 05:25
CH3,SP050,86,213,22-11-2023 05:26
CH3,SP047,24,274,11-06-2025 22:27
CH3,SP001,35,62,18-07-2025 20:46
CH3,SP125,26,114,19-02-2024 01:22
CH3,SP131,47,85,06-09-2024 14:51
CH3,SP137,27,218,04-11-2024 19:52
CH3,SP086,37,204,25-10-2024 10:27
CH3,SP070,35,178,24-07-2024 06:09
CH3,SP110,16,110,21-01-2023 12:17
CH3,SP165,53,146,08-11-2023 02:41
CH3,SP092,86,323,24-11-2024 19:08
CH3,SP141,46,228,19-02-2023 14:30
CH3,SP052,4,63,24-11-2024 08:52
CH3,SP040,13,72,15-10-2025 23:27
CH3,SP192,36,88,13-09-2024 10:36
CH3,SP251,97,236,20-11-2025 17:46
CH3,SP219,60,96,09-11-2025 12:33
CH3,SP295,98,377,09-05-2025 12:39
CH3,SP293,75,163,09-01-2025 03:08
CH3,SP005,19,167,04-04-2023 05:07
CH3,SP059,50,311,02-11-2024 18:06
CH3,SP140,44,264,17-09-2023 12:49
CH3,SP017,72,266,01-11-2025 05:08
CH3,SP009,92,130,23-06-2025 18:46
CH3,SP220,25,124,06-06-2025 09:45
CH3,SP044,79,87,09-06-2025 15:47
CH3,SP007,1,171,15-06-2023 14:37
CH3,SP254,27,305,03-03-2023 00:13
CH3,SP233,19,312,20-03-2025 04:41
CH3,SP174,8,145,27-07-2025 12:03
CH3,SP243,98,265,18-08-2024 19:33
CH3,SP098,60,273,27-08-2023 01:40
CH3,SP048,57,60,04-01-2023 12:58
CH3,SP015,20,218,15-06-2024 05:50
CH3,SP103,11,176,14-06-2023 23:23
CH3,SP162,31,223,17-11-2023 09:06
CH3,SP211,80,120,09-09-2024 21:39
CH3,SP136,10,255,23-08-2025 20:51
CH3,SP122,39,275,14-05-2023 02:49
CH3,SP035,76,211,09-05-2024 19:11
CH3,SP115,77,354,07-03-2023 01:13
CH3,SP289,93,174,01-08-2025 03:38
CH3,SP071,62,220,08-03-2024 00:29
CH3,SP169,33,215,24-11-2025 01:23
CH3,SP284,39,267,28-05-2023 08:19
CH3,SP208,18,120,18-05-2025 22:05
CH3,SP155,66,306,28-03-2025 21:23
CH3,SP037,25,183,07-07-2025 11:29
CH3,SP272,31,245,30-11-2024 23:21
CH3,SP146,70,120,09-10-2023 17:42
CH3,SP156,39,85,06-10-2024 23:36
CH3,SP116,94,293,21-09-2025 13:50
CH3,SP064,2,167,03-03-2024 01:07
CH3,SP006,66,80,09-07-2024 10:28
CH3,SP196,0,237,22-01-2024 06:44
CH3,SP229,77,349,04-03-2024 12:52
CH3,SP114,36,166,23-09-2024 16:11
CH3,SP056,82,256,09-11-2024 12:52
CH3,SP068,56,129,09-10-2023 16:16
CH3,SP105,97,205,18-04-2023 10:37
CH3,SP223,53,246,10-03-2024 17:22
CH3,SP082,28,125,25-05-2025 06:50
CH3,SP083,11,274,29-04-2024 15:31
CH3,SP189,16,94,07-07-2025 03:57
CH3,SP133,24,37,08-12-2023 10:09
CH3,SP205,60,68,03-10-2023 22:59
CH3,SP106,0,284,26-02-2024 07:07
CH3,SP085,53,106,17-07-2024 02:39
CH3,SP004,90,105,03-01-2023 11:00
CH3,SP011,69,206,02-01-2025 06:05
CH3,SP198,25,87,20-06-2024 13:57
CH3,SP034,0,290,30-10-2024 09:06
CH3,SP148,73,104,31-03-2025 06:17
CH3,SP063,22,248,06-04-2024 06:21
CH3,SP177,46,204,28-09-2023 19:22
CH3,SP178,39,106,25-12-2024 17:45
CH3,SP240,98,133,28-12-2024 06:54
CH3,SP104,12,112,01-12-2024 00:13
CH3,SP266,87,106,12-09-2024 07:21
CH3,SP039,96,352,23-06-2025 02:11
CH3,SP204,34,160,16-06-2024 08:48
CH3,SP164,19,183,14-04-2025 01:23
CH3,SP279,69,118,09-03-2024 01:53
CH3,SP074,71,194,01-03-2024 10:38
CH3,SP089,12,62,02-03-2024 05:52
CH3,SP049,17,215,16-12-2025 10:02
CH3,SP127,88,324,28-03-2024 03:08
CH3,SP080,74,313,19-05-2023 01:47
CH3,SP030,0,202,17-06-2025 16:14
CH3,SP124,1,61,20-04-2023 03:28
CH3,SP270,71,116,15-09-2024 05:00
CH3,SP031,76,154,09-01-2023 19:52
CH3,SP203,43,148,13-10-2023 10:37
CH3,SP286,24,291,14-08-2024 00:03
CH3,SP084,31,282,04-08-2024 13:03
CH3,SP145,58,188,21-06-2024 10:14
CH3,SP130,67,317,18-05-2025 20:41
CH3,SP129,98,379,21-11-2025 01:26
CH3,SP101,31,177,18-07-2023 15:13
CH3,SP252,77,316,03-02-2023 15:21
CH3,SP036,24,264,06-08-2024 07:51
CH3,SP191,28,149,03-01-2024 15:48
CH3,SP143,8,81,26-11-2023 20:52
CH3,SP182,42,160,30-09-2025 20:38
CH3,SP287,65,234,13-01-2024 06:29
CH3,SP210,82,368,14-06-2023 16:13
CH3,SP019,28,55,08-01-2024 01:23
